2025-01-04 21:40:41 - FastAPI - INFO - [main.py:64] - Request: method=POST, url=/api/v1/line_balance/create_task, client=192.168.0.168, status_code=200, process_time=0.01 seconds - User: iradi
2025-01-04 21:40:41 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.12 seconds - User: iradi
2025-01-04 21:40:41 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:40:41 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.12 seconds - User: iradi
2025-01-04 21:40:41 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:40:42 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.14 seconds - User: iradi
2025-01-04 21:40:42 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:40:59 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.10 seconds - User: iradi
2025-01-04 21:40:59 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:41:01 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.10 seconds - User: iradi
2025-01-04 21:41:01 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:41:02 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.10 seconds - User: iradi
2025-01-04 21:41:02 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:41:06 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.10 seconds - User: iradi
2025-01-04 21:41:06 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:41:09 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.10 seconds - User: iradi
2025-01-04 21:41:09 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:41:11 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.10 seconds - User: iradi
2025-01-04 21:41:11 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:41:14 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.11 seconds - User: iradi
2025-01-04 21:41:14 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.00 seconds - User: iradi
2025-01-04 21:42:09 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_takes_by_line_balance, client=192.168.0.168, status_code=200, process_time=0.01 seconds - User: iradi
2025-01-04 21:42:21 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.10 seconds - User: iradi
2025-01-04 21:42:23 - FastAPI - INFO - [main.py:64] - Request: method=GET, url=/api/v1/line_balance/get_by_id, client=192.168.0.168, status_code=200, process_time=0.10 seconds - User: iradi
